Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1961,1961,m3,245645893,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1962,1962,m3,242768132,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1963,1963,m3,245172435,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1964,1964,m3,253570641,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1965,1965,m3,250736180,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1966,1966,m3,253590993,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1967,1967,m3,251006903,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1968,1968,m3,249184278,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1969,1969,m3,248148448,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1970,1970,m3,248742450,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1971,1971,m3,249666122,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1972,1972,m3,253334388,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1973,1973,m3,250762483,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1974,1974,m3,256957929,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1975,1975,m3,256299429,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1976,1976,m3,262511930,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1977,1977,m3,260714591,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1978,1978,m3,260282707,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1979,1979,m3,265851392,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1980,1980,m3,269043068,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1981,1981,m3,273097903,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1982,1982,m3,279004964,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1983,1983,m3,275182490,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1984,1984,m3,276601373,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1985,1985,m3,273816628,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1986,1986,m3,271484079,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1987,1987,m3,270444724,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1988,1988,m3,264207912,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1989,1989,m3,264452329,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1990,1990,m3,267438727,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1991,1991,m3,266282562,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1992,1992,m3,235864688,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1993,1993,m3,223834790,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1994,1994,m3,217057329,C,"Aggregate, may include official, semi-official, estimated or calculated data"
