Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","29.27","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","30.21","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","30.97","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","32","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","32.69","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","33.88","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","35.09","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","36.12","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","36.32","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","37.45","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","38.37","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","38.2","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","40.33","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","40.64","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","41.41","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","42.39","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","43.42","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","45.39","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","45.91","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","45.96","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","47.47","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","49.02","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","49.23","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","51.72","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","52.59","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","53.49","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","54.12","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","54.66","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","56.57","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","58.03","E","Estimated value"
"QI","Production Indices","001","World","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","55.91","E","Estimated value"
