Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","001","World","5110","Area","6600","Country area","1961","1961","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1962","1962","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1963","1963","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1964","1964","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1965","1965","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1966","1966","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1967","1967","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1968","1968","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1969","1969","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1970","1970","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1971","1971","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1972","1972","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1973","1973","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1974","1974","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1975","1975","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1976","1976","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1977","1977","1000 ha","13444653.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1978","1978","1000 ha","13444653.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1979","1979","1000 ha","13444857.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1980","1980","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1981","1981","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1982","1982","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1983","1983","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1984","1984","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1985","1985","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1986","1986","1000 ha","13444865.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1987","1987","1000 ha","13444731.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1988","1988","1000 ha","13444732.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1989","1989","1000 ha","13444732.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1990","1990","1000 ha","13444799.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1991","1991","1000 ha","13444801.3477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1992","1992","1000 ha","13434291.9477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1993","1993","1000 ha","13434301.9477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1994","1994","1000 ha","13433609.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1995","1995","1000 ha","13433611.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1996","1996","1000 ha","13433619.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1997","1997","1000 ha","13440493.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1998","1998","1000 ha","13437767.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","1999","1999","1000 ha","13437767.6477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2000","2000","1000 ha","13437466.0477","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2001","2001","1000 ha","13437505.0677","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2002","2002","1000 ha","13437548.5677","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2003","2003","1000 ha","13437595.1177","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2004","2004","1000 ha","13441008.5091","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2005","2005","1000 ha","13441204.1446","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2006","2006","1000 ha","13441234.6407","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2007","2007","1000 ha","13441243.7969","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2008","2008","1000 ha","13461194.3912","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2009","2009","1000 ha","13460962.7732","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2010","2010","1000 ha","13460990.1521","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2011","2011","1000 ha","13461020.4299","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2012","2012","1000 ha","13462978.2803","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2013","2013","1000 ha","13498679.3802","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2014","2014","1000 ha","13498487.0638","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2015","2015","1000 ha","13499240.5261","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2016","2016","1000 ha","13499360.696","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2017","2017","1000 ha","13499694.5853","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2018","2018","1000 ha","13499655.5312","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2019","2019","1000 ha","13499682.9334","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6600","Country area","2020","2020","1000 ha","13500322.5135","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1961","1961","1000 ha","13040572.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1962","1962","1000 ha","13040570.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1963","1963","1000 ha","13040571.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1964","1964","1000 ha","13040571.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1965","1965","1000 ha","13040570.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1966","1966","1000 ha","13040569.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1967","1967","1000 ha","13040568.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1968","1968","1000 ha","13040567.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1969","1969","1000 ha","13040567.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1970","1970","1000 ha","13040566.3909","E","Estimated value"
"RL","Land Use","001","World","5110","Area","6601","Land area","1971","1971","1000 ha","13040565.3909","E","Estimated value"
