date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1820-08-01,19.674,2.283,Changchun,China,44.20N,125.22E
1820-09-01,14.841,1.792,Changchun,China,44.20N,125.22E
1820-10-01,4.825,1.911,Changchun,China,44.20N,125.22E
1820-11-01,-5.807,2.309,Changchun,China,44.20N,125.22E
1820-12-01,-15.398,2.601,Changchun,China,44.20N,125.22E
1821-01-01,-15.507,2.683,Changchun,China,44.20N,125.22E
1821-02-01,-11.039,2.821,Changchun,China,44.20N,125.22E
1821-03-01,-2.761,2.427,Changchun,China,44.20N,125.22E
1821-04-01,6.081,2.339,Changchun,China,44.20N,125.22E
1821-05-01,14.635,1.854,Changchun,China,44.20N,125.22E
1821-06-01,19.433,2.016,Changchun,China,44.20N,125.22E
1821-07-01,22.179,2.044,Changchun,China,44.20N,125.22E
1821-08-01,21.204,1.734,Changchun,China,44.20N,125.22E
1821-09-01,13.604,1.831,Changchun,China,44.20N,125.22E
1821-10-01,5.666,1.916,Changchun,China,44.20N,125.22E
1821-11-01,-4.091,2.801,Changchun,China,44.20N,125.22E
1821-12-01,-13.935,2.659,Changchun,China,44.20N,125.22E
1822-01-01,-16.842,2.743,Changchun,China,44.20N,125.22E
1822-02-01,-11.219,2.772,Changchun,China,44.20N,125.22E
1822-03-01,-0.313,2.605,Changchun,China,44.20N,125.22E
1822-04-01,6.811,2.249,Changchun,China,44.20N,125.22E
1822-05-01,14.012,1.956,Changchun,China,44.20N,125.22E
1822-06-01,20.221,1.767,Changchun,China,44.20N,125.22E
1822-07-01,23.439,1.721,Changchun,China,44.20N,125.22E
1822-08-01,21.108,1.968,Changchun,China,44.20N,125.22E
1822-09-01,14.311,1.809,Changchun,China,44.20N,125.22E
1822-10-01,5.19,1.912,Changchun,China,44.20N,125.22E
1822-11-01,-5.535,2.42,Changchun,China,44.20N,125.22E
1822-12-01,-15.663,2.909,Changchun,China,44.20N,125.22E
1823-01-01,-17.596,2.527,Changchun,China,44.20N,125.22E
1823-02-01,-13.556,2.875,Changchun,China,44.20N,125.22E
1823-03-01,-3.551,2.549,Changchun,China,44.20N,125.22E
1823-04-01,5.866,2.539,Changchun,China,44.20N,125.22E
1823-05-01,13.895,1.955,Changchun,China,44.20N,125.22E
1823-06-01,21.158,2.184,Changchun,China,44.20N,125.22E
1823-07-01,23.463,1.727,Changchun,China,44.20N,125.22E
1823-08-01,20.895,1.747,Changchun,China,44.20N,125.22E
1823-09-01,13.675,1.662,Changchun,China,44.20N,125.22E
