Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2016,2016,°C,0.855,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2016,2016,°C,1.303,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2016,2016,°C,1.78,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2016,2016,°C,2.115,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2016,2016,°C,2.313,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2016,2016,°C,1.287,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2016,2016,°C,1.168,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2016,2016,°C,0.723,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2016,2016,°C,0.328,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2016,2016,°C,-0.175,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2016,2016,°C,0.788,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2016,2016,°C,0.99,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2016,2016,°C,1.14,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2016,2016,°C,2.069,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2016,2016,°C,1.059,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2016,2016,°C,0.314,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2016,2016,°C,1.145,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2017,2017,°C,1.074,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2017,2017,°C,0.741,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2017,2017,°C,1.704,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2017,2017,°C,0.237,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2017,2017,°C,1.043,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2017,2017,°C,0.5,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2017,2017,°C,1.766,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2017,2017,°C,1.208,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2017,2017,°C,1.481,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2017,2017,°C,1.665,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2017,2017,°C,1.058,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2017,2017,°C,1.314,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2017,2017,°C,0.935,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2017,2017,°C,0.995,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2017,2017,°C,1.158,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2017,2017,°C,1.401,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2017,2017,°C,1.122,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2018,2018,°C,1.538,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2018,2018,°C,1.029,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2018,2018,°C,1.071,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2018,2018,°C,2.347,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2018,2018,°C,0.642,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2018,2018,°C,0.303,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2018,2018,°C,1.223,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2018,2018,°C,0.191,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2018,2018,°C,0.834,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2018,2018,°C,1.954,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2018,2018,°C,0.899,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2018,2018,°C,2.06,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2018,2018,°C,1.294,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2018,2018,°C,1.353,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2018,2018,°C,0.572,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2018,2018,°C,1.229,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2018,2018,°C,1.112,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2019,2019,°C,2.744,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2019,2019,°C,1.456,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2019,2019,°C,1.912,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2019,2019,°C,1.293,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2019,2019,°C,0.91,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2019,2019,°C,0.231,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2019,2019,°C,1.454,E,Estimated value
