Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1970","1970","millions","3414960.814253","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1971","1971","millions","3757719.340773","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1972","1972","millions","4324265.331457","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1973","1973","millions","5260447.323155","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1974","1974","millions","5957541.694496","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1975","1975","millions","6662427.724696","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1976","1976","millions","7197595.706579","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1977","1977","millions","8102665.487902","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1978","1978","millions","9596435.739168","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1979","1979","millions","11043498.605854","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1980","1980","millions","12322204.375337","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1981","1981","millions","12580968.30303","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1982","1982","millions","12490530.926603","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1983","1983","millions","12803972.575627","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1984","1984","millions","13163384.549822","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1985","1985","millions","13515806.813993","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1986","1986","millions","15575919.677402","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1987","1987","millions","17603378.321259","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1988","1988","millions","19685898.111455","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1989","1989","millions","20561093.804253","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1990","1990","millions","23074375.233054","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1991","1991","millions","23979829.621317","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1992","1992","millions","25622259.748459","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1993","1993","millions","26083891.212723","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1994","1994","millions","27916483.641061","E","Estimated value",""
"MK","Macro Indicators","001","World","6110","Value US$","22008","Gross Domestic Product","1995","1995","millions","30968619.237715","E","Estimated value",""
