Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1961","1961","1000 $","253261368","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1962","1962","1000 $","250556394","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1963","1963","1000 $","260458928","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1964","1964","1000 $","263628728","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1965","1965","1000 $","255954218","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1966","1966","1000 $","252786718","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1967","1967","1000 $","256370773","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1968","1968","1000 $","260011457","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1969","1969","1000 $","274497351","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1970","1970","1000 $","274157502","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1971","1971","1000 $","285767110","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1972","1972","1000 $","306482933","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1973","1973","1000 $","393976223","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1974","1974","1000 $","507631109","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1975","1975","1000 $","534021266","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1976","1976","1000 $","510778792","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1977","1977","1000 $","583330367","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1978","1978","1000 $","594856555","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1979","1979","1000 $","655002137","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1980","1980","1000 $","701871632","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1981","1981","1000 $","671176024","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1982","1982","1000 $","613420657","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1983","1983","1000 $","599793629","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1984","1984","1000 $","608334738","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1985","1985","1000 $","579646642","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1986","1986","1000 $","636863379","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1987","1987","1000 $","646071447","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1988","1988","1000 $","707038411","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1989","1989","1000 $","724288828","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1990","1990","1000 $","773414862","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1991","1991","1000 $","754821086","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1992","1992","1000 $","736531961","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1993","1993","1000 $","715284221","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1994","1994","1000 $","782115648","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1995","1995","1000 $","852492391","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1996","1996","1000 $","873937196","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1997","1997","1000 $","833154203","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1998","1998","1000 $","789550103","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","1999","1999","1000 $","711917306","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","2000","2000","1000 $","672030108","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","2001","2001","1000 $","666043519","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","2002","2002","1000 $","671649891","E","Estimated value"
"TI","Trade Indices","001","World","64","Import Value Base Period Quantity","F1882","Agricultural Products","2003","2003","1000 $","769613216","E","Estimated value"
